"sciname","country","iso3c","wholefish","trimmings","trim_prop","data_source_feed","data_source_fao_area_country","feed_report_spp_name","capture","trash_fish","genus","subfamily","family","order","class","superclass","phylum","kingdom","isscaap_group","common_name"
"siganus fuscescens","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Siganus fuscescens","yes","yes","siganus",NA,"siganidae","acanthuriformes","actinopterygii","osteichthyes","chordata","animalia","Miscellaneous coastal fishes","mottled spinefoot"
"scomberomorus niphonius","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Scomberomorus niphonius","yes","yes","scomberomorus","scombrinae","scombridae","scombriformes","actinopterygii","osteichthyes","chordata","animalia","Tunas, bonitos, billfishes","japanese spanish mackerel"
"rastrelliger kanagurta","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Rastrelliger kanagurta","yes","yes","rastrelliger","scombrinae","scombridae","scombriformes","actinopterygii","osteichthyes","chordata","animalia","Miscellaneous pelagic fishes","indian mackerel"
"scomber japonicus","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Scomber japonicus","yes","yes","scomber","scombrinae","scombridae","scombriformes","actinopterygii","osteichthyes","chordata","animalia","Miscellaneous pelagic fishes","pacific chub mackerel"
"sphyraena flavicauda","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Sphyraena flavicauda","yes","yes","sphyraena",NA,"sphyraenidae","carangaria/misc","actinopteri","osteichthyes","chordata","animalia",NA,"yellowtail barracuda"
"trichiurus japonicus","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Trichiurus japonicus","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"japanese hairtail"
"lepturacanthus savala","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Lepturacanthus savala","yes","yes","lepturacanthus","trichiurinae","trichiuridae","scombriformes","actinopteri","osteichthyes","chordata","animalia",NA,"savalai hairtail"
"eupleurogrammus muticus","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Eupleurogrammus muticus","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"smallhead hairtail"
"psenopsis anomala","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Psenopsis anomala","yes","yes","psenopsis",NA,"centrolophidae","scombriformes","actinopterygii","osteichthyes","chordata","animalia","Miscellaneous demersal fishes","pacific rudderfish"
"pampus punctatissimus","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Pampus punctatissimus","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"northern silver pomfret"
"pampus argenteus","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Pampus argenteus","yes","yes","pampus",NA,"stromateidae","scombriformes","actinopterygii","osteichthyes","chordata","animalia","Miscellaneous pelagic fishes","silver pomfret"
"pampus chinensis","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Pampus chinensis","yes","yes","pampus",NA,"stromateidae","scombriformes","actinopteri","osteichthyes","chordata","animalia",NA,"chinese silver pomfret"
