"country","sciname","aquaculture","trim_prop","common_name","wholefish","trimmings","data_source_feed","data_source_fao_area_country","feed_report_spp_name","trash_fish","capture","source_country_iso3c"
"Indonesia","amblygaster sirm","no",0.5,"spotted sardinella","yes","no","Shea et al. 2025",NA,"lemuru","no","yes","IDN"
"Indonesia","amblygaster sirm","no",0.5,"spotted sardinella","no","yes","Shea et al. 2025",NA,"lemuru","no","yes","IDN"
"Indonesia","auxis","no",1,"frigate and bullet tunas","no","yes","Shea et al. 2025",NA,"tuna","no","yes","IDN"
"Indonesia","auxis rochei","no",1,"bullet tuna","no","yes","Shea et al. 2025",NA,"tuna","no","yes","IDN"
"Indonesia","auxis thazard","no",1,"frigate tuna","no","yes","Shea et al. 2025",NA,"tuna","no","yes","IDN"
"Indonesia","dussumieria acuta","no",0.5,"rainbow sardine","no","yes","Shea et al. 2025",NA,"sardine","no","yes","IDN"
"Indonesia","dussumieria acuta","no",0.5,"rainbow sardine","yes","no","Shea et al. 2025",NA,"sardine","no","yes","IDN"
"Indonesia","gymnosarda unicolor","no",1,"dogtooth tuna","no","yes","Shea et al. 2025",NA,"tuna","no","yes","IDN"
"Indonesia","katsuwonus pelamis","no",1,"skipjack tuna","no","yes","Shea et al. 2025",NA,"tuna, skipjack tuna","no","yes","IDN"
"Indonesia","perciformes","no",1,"tuna-like fishes nei","no","yes","Shea et al. 2025",NA,"tuna","no","yes","IDN"
"Indonesia","sardinella fimbriata","no",0.5,"fringescale sardinella","no","yes","Shea et al. 2025",NA,"fringescale sardinella","no","yes","IDN"
"Indonesia","sardinella fimbriata","no",0.5,"fringescale sardinella","yes","no","Shea et al. 2025",NA,"fringescale sardinella","no","yes","IDN"
"Indonesia","sardinella gibbosa","no",0.5,"goldstripe sardinella","no","yes","Shea et al. 2025",NA,"sardine","no","yes","IDN"
"Indonesia","sardinella gibbosa","no",0.5,"goldstripe sardinella","yes","no","Shea et al. 2025",NA,"sardine","no","yes","IDN"
"Indonesia","sardinella lemuru","no",0.5,"bali sardinella","no","yes","Shea et al. 2025",NA,"sardine","no","yes","IDN"
"Indonesia","sardinella lemuru","no",0.5,"bali sardinella","yes","no","Shea et al. 2025",NA,"sardine","no","yes","IDN"
"Indonesia","sardinops sagax","no",0.5,"south american pilchard","no","yes","Shea et al. 2025",NA,"south american pilchard","no","yes","IDN"
"Indonesia","sardinops sagax","no",0.5,"south american pilchard","yes","no","Shea et al. 2025",NA,"south american pilchard","no","yes","IDN"
"Indonesia","thunnus albacares","no",1,"yellowfin tuna","no","yes","Shea et al. 2025",NA,"tuna, yellowfin tuna","no","yes","IDN"
"Indonesia","thunnus maccoyii","no",1,"southern bluefin tuna","no","yes","Shea et al. 2025",NA,"tuna","no","yes","IDN"
"Indonesia","thunnus obesus","no",1,"bigeye tuna","no","yes","Shea et al. 2025",NA,"tuna","no","yes","IDN"
"Indonesia","thunnus tonggol","no",1,"longtail tuna","no","yes","Shea et al. 2025",NA,"tuna","no","yes","IDN"
