"country","sciname","aquaculture","trim_prop","factory_id","common_name","wholefish","trimmings","data_source_feed","data_source_fao_area_country","feed_report_spp_name","trash_fish","capture","source_country_iso3c"
"Chile","trachurus murphyi","no",0.275862068965517,40,"jack mackerel","yes","no","Shea et al. 2025",NA,"jack mackerel","no","yes","CHL"
"Chile","trachurus murphyi","no",0.275862068965517,42,"chilean jack mackerel","no","yes","Shea et al. 2025",NA,"chilean jack mackerel","no","yes","CHL"
"Chile","trachurus murphyi","no",0.275862068965517,42,"chilean jack mackerel","yes","no","Shea et al. 2025",NA,"chilean jack mackerel","no","yes","CHL"
"Chile","trachurus murphyi","no",0.275862068965517,43,"jack mackerel","yes","no","Shea et al. 2025",NA,"jack mackerel","no","yes","CHL"
"Chile","trachurus murphyi","no",0.275862068965517,43,"jack mackerel","no","yes","Shea et al. 2025",NA,"jack mackerel","no","yes","CHL"
"Chile","trachurus murphyi","no",0.275862068965517,44,"jack mackerel","yes","no","Shea et al. 2025",NA,"jack mackerel","no","yes","CHL"
"Chile","trachurus murphyi","no",0.275862068965517,46,"jack mackerel","no","yes","Shea et al. 2025",NA,"jack mackerel","no","yes","CHL"
"Chile","trachurus murphyi","no",0.275862068965517,46,"chilean jack mackerel","yes","no","Shea et al. 2025",NA,"chilean jack mackerel","no","yes","CHL"
"Chile","trachurus murphyi","no",0.275862068965517,47,"chilean jack mackerel","yes","no","Shea et al. 2025",NA,"chilean jack mackerel","no","yes","CHL"
"Chile","trachurus murphyi","no",0.275862068965517,47,"jack mackerel/jurel","no","yes","Shea et al. 2025",NA,"jack mackerel/jurel","no","yes","CHL"
