"factory_id","country","common_name","sciname","aquaculture","wholefish","trimmings","data_source_feed","data_source_fao_area_country","feed_report_spp_name","trash_fish","capture","source_country_iso3c"
130,"Iceland","blue whiting","micromesistius poutassou","no","yes","no","Shea et al. 2025",NA,"blue whiting","no","yes","ISL"
130,"Iceland","atlantic herring","clupea harengus","no","no","yes","Shea et al. 2025",NA,"atlantic herring","no","yes","ISL"
130,"Iceland","mackerel","scomber scombrus","no","no","yes","Shea et al. 2025",NA,"mackerel","no","yes","ISL"
176,"Latvia","herring","clupea harengus","no","no","yes","Shea et al. 2025",NA,"herring","no","yes","LVA"
176,"Latvia","sprat","sprattus sprattus","no","no","yes","Shea et al. 2025",NA,"sprat","no","yes","LVA"
178,"Latvia","salmon","salmo salar","yes","no","yes","Shea et al. 2025",NA,"salmon","no","no","LVA"
179,"Latvia","salmon","salmo salar","yes","no","yes","Shea et al. 2025",NA,"salmon","no","no","LVA"
179,"Latvia","cod","gadus morhua","no","no","yes","Shea et al. 2025",NA,"cod","no","yes","LVA"
179,"Latvia","herring","clupea harengus","no","no","yes","Shea et al. 2025",NA,"herring","no","yes","LVA"
179,"Latvia","sprat","sprattus sprattus","no","no","yes","Shea et al. 2025",NA,"sprat","no","yes","LVA"
181,"Lithuania","salmon","salmo salar","yes","no","yes","Shea et al. 2025",NA,"salmon","no","no","LTU"
188,"Mauritania","sardine","sardina pilchardus","no","yes","no","Shea et al. 2025",NA,"sardine","no","yes","MRT"
193,"Mauritania","madeiran sardinella","sardinella maderensis","no","yes","no","Shea et al. 2025",NA,"madeiran sardinella","no","yes","MRT"
193,"Mauritania","sardine","sardina pilchardus","no","yes","no","Shea et al. 2025",NA,"sardine","no","yes","MRT"
207,"Mauritania","madeiran sardinella","sardinella maderensis","no","yes","no","Shea et al. 2025",NA,"madeiran sardinella","no","yes","MRT"
207,"Mauritania","sardine","sardina pilchardus","no","yes","no","Shea et al. 2025",NA,"sardine","no","yes","MRT"
217,"Mauritania","madeiran sardinella","sardinella maderensis","no","yes","no","Shea et al. 2025",NA,"madeiran sardinella","no","yes","MRT"
217,"Mauritania",NA,NA,"no","no","yes","Shea et al. 2025",NA,NA,"no","yes","MRT"
217,"Mauritania","sardine","sardina pilchardus","no","yes","no","Shea et al. 2025",NA,"sardine","no","yes","MRT"
219,"Mauritania","madeiran sardinella","sardinella maderensis","no","yes","no","Shea et al. 2025",NA,"madeiran sardinella","no","yes","MRT"
224,"Mauritania","sardine","sardina pilchardus","no","yes","no","Shea et al. 2025",NA,"sardine","no","yes","MRT"
229,"Mauritius","bigeye tuna","thunnus obesus","no","no","yes","Shea et al. 2025",NA,"bigeye tuna","no","yes","MUS"
229,"Mauritius","skipjack tuna","katsuwonus pelamis","no","no","yes","Shea et al. 2025",NA,"skipjack tuna","no","yes","MUS"
229,"Mauritius","yellowfin tuna","thunnus albacares","no","no","yes","Shea et al. 2025",NA,"yellowfin tuna","no","yes","MUS"
229,"Mauritius","albacore tuna","thunnus alalunga","no","no","yes","Shea et al. 2025",NA,"albacore tuna","no","yes","MUS"
230,"Mexico","monterrey sardine","sardinops sagax","no","yes","no","Shea et al. 2025",NA,"monterrey sardine","no","yes","MEX"
230,"Mexico","pacific thread herring","opisthonema libertate","no","yes","no","Shea et al. 2025",NA,"pacific thread herring","no","yes","MEX"
232,"Mexico","yellowfin tuna","thunnus albacares","no","no","yes","Shea et al. 2025",NA,"yellowfin tuna","no","yes","MEX"
232,"Mexico","skipjack tuna","katsuwonus pelamis","no","no","yes","Shea et al. 2025",NA,"skipjack tuna","no","yes","MEX"
232,"Mexico","pacific chub mackerel","scomber japonicus","no","yes","no","Shea et al. 2025",NA,"pacific chub mackerel","no","yes","MEX"
232,"Mexico","pacific jack mackerel","trachurus symmetricus","no","yes","no","Shea et al. 2025",NA,"pacific jack mackerel","no","yes","MEX"
232,"Mexico","pacific anchoveta","cetengraulis mysticetus","no","yes","no","Shea et al. 2025",NA,"pacific anchoveta","no","yes","MEX"
232,"Mexico","shrimp","penaeus vannamei","yes","no","yes","Shea et al. 2025",NA,"shrimp","no","no","MEX"
233,"Mexico","yellowfin tuna","thunnus albacares","no","no","yes","Shea et al. 2025",NA,"yellowfin tuna","no","yes","MEX"
233,"Mexico","skipjack tuna","katsuwonus pelamis","no","no","yes","Shea et al. 2025",NA,"skipjack tuna","no","yes","MEX"
233,"Mexico","pacific chub mackerel","scomber japonicus","no","yes","no","Shea et al. 2025",NA,"pacific chub mackerel","no","yes","MEX"
233,"Mexico","pacific jack mackerel","trachurus symmetricus","no","yes","no","Shea et al. 2025",NA,"pacific jack mackerel","no","yes","MEX"
233,"Mexico","shrimp","penaeus vannamei","yes","no","yes","Shea et al. 2025",NA,"shrimp","no","no","MEX"
233,"Mexico","pacific anchoveta","cetengraulis mysticetus","no","yes","no","Shea et al. 2025",NA,"pacific anchoveta","no","yes","MEX"
234,"Mexico","south american pilchard","sardinops sagax","no","yes","no","Shea et al. 2025",NA,"south american pilchard","no","yes","MEX"
234,"Mexico","mackerel","scomber japonicus","no","yes","no","Shea et al. 2025",NA,"mackerel","no","yes","MEX"
234,"Mexico","pacific thread herring","opisthonema libertate","no","yes","no","Shea et al. 2025",NA,"pacific thread herring","no","yes","MEX"
234,"Mexico","pacific anchoveta","cetengraulis mysticetus","no","yes","no","Shea et al. 2025",NA,"pacific anchoveta","no","yes","MEX"
234,"Mexico","anchovy","engraulis mordax","no","yes","no","Shea et al. 2025",NA,"anchovy","no","yes","MEX"
234,"Mexico","sardine japanese","etrumeus teres","no","yes","no","Shea et al. 2025",NA,"sardine japanese","no","yes","MEX"
239,"Mexico","charro sardine","trachurus symmetricus","no","no","yes","Shea et al. 2025",NA,"charro sardine","no","yes","MEX"
239,"Mexico","makerel","scomber japonicus","no","no","yes","Shea et al. 2025",NA,"makerel","no","yes","MEX"
